starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 20:58:02 2013	1365447482	0	20	20	18
Mon Apr 08 20:57:10 2013	1365447430	0	22	22	21
Mon Apr 08 20:57:37 2013	1365447457	0	22	23	12
Mon Apr 08 20:57:18 2013	1365447438	0	23	23	22
Mon Apr 08 20:58:01 2013	1365447481	0	23	23	21
Mon Apr 08 20:58:02 2013	1365447482	0	25	25	15
Mon Apr 08 20:57:12 2013	1365447432	0	25	25	20
Mon Apr 08 20:58:02 2013	1365447482	2	25	27	25
Mon Apr 08 20:57:54 2013	1365447474	0	28	28	24
Mon Apr 08 20:57:54 2013	1365447474	1	28	29	16
Mon Apr 08 20:58:01 2013	1365447481	0	30	30	22
Mon Apr 08 20:57:16 2013	1365447436	0	31	32	20
Mon Apr 08 20:57:19 2013	1365447439	0	32	33	27
Mon Apr 08 20:58:00 2013	1365447480	1	32	33	10
Mon Apr 08 20:58:01 2013	1365447481	1	35	36	28
Mon Apr 08 20:58:00 2013	1365447480	0	36	36	20
Mon Apr 08 20:57:13 2013	1365447433	0	37	37	36
Mon Apr 08 20:57:09 2013	1365447429	0	38	38	22
Mon Apr 08 20:58:05 2013	1365447485	1	37	38	37
Mon Apr 08 20:58:02 2013	1365447482	0	38	38	37
Mon Apr 08 20:57:51 2013	1365447471	2	37	38	26
Mon Apr 08 20:57:09 2013	1365447429	0	38	38	18
Mon Apr 08 20:57:07 2013	1365447427	0	39	39	38
Mon Apr 08 20:58:02 2013	1365447482	0	39	39	18
Mon Apr 08 20:57:18 2013	1365447438	0	39	40	26
Mon Apr 08 20:57:54 2013	1365447474	0	39	40	18
Mon Apr 08 20:57:18 2013	1365447438	0	40	40	30
Mon Apr 08 20:57:45 2013	1365447465	2	38	40	17
Mon Apr 08 20:57:10 2013	1365447430	0	40	40	24
Mon Apr 08 20:57:54 2013	1365447474	0	40	41	23
Mon Apr 08 20:58:04 2013	1365447484	0	41	41	41
Mon Apr 08 20:57:14 2013	1365447434	0	41	41	36
Mon Apr 08 20:57:13 2013	1365447433	0	41	41	29
Mon Apr 08 20:57:12 2013	1365447432	0	42	42	29
Mon Apr 08 20:57:53 2013	1365447473	1	42	43	24
Mon Apr 08 20:57:10 2013	1365447430	0	43	43	42
Mon Apr 08 20:57:39 2013	1365447459	0	43	43	43
Mon Apr 08 20:58:02 2013	1365447482	0	44	44	16
Mon Apr 08 20:57:18 2013	1365447438	0	44	45	24
Mon Apr 08 20:57:12 2013	1365447432	0	45	45	34
Mon Apr 08 20:57:53 2013	1365447473	0	45	45	32
Mon Apr 08 20:58:01 2013	1365447481	1	44	45	22
Mon Apr 08 20:57:54 2013	1365447474	0	45	45	44
Mon Apr 08 20:57:14 2013	1365447434	0	45	46	14
Mon Apr 08 20:57:16 2013	1365447436	0	46	46	24
Mon Apr 08 20:57:49 2013	1365447469	0	46	46	33
Mon Apr 08 20:57:14 2013	1365447434	0	46	47	15
Mon Apr 08 20:57:45 2013	1365447465	0	47	47	6
Mon Apr 08 20:57:09 2013	1365447429	0	47	48	23
Mon Apr 08 20:57:11 2013	1365447431	0	48	48	35
Mon Apr 08 20:58:02 2013	1365447482	0	48	48	24
Mon Apr 08 20:57:44 2013	1365447464	0	48	48	48
Mon Apr 08 20:57:18 2013	1365447438	1	47	48	35
Mon Apr 08 20:57:38 2013	1365447458	0	48	48	26
Mon Apr 08 20:57:09 2013	1365447429	0	48	49	23
Mon Apr 08 20:57:59 2013	1365447479	0	49	49	39
Mon Apr 08 20:57:59 2013	1365447479	0	49	49	41
Mon Apr 08 20:58:00 2013	1365447480	0	49	49	49
Mon Apr 08 20:57:54 2013	1365447474	2	48	50	39
Mon Apr 08 20:57:19 2013	1365447439	0	50	50	16
Mon Apr 08 20:57:19 2013	1365447439	0	50	50	43
Mon Apr 08 20:57:07 2013	1365447427	0	50	50	23
Mon Apr 08 20:57:19 2013	1365447439	0	50	50	36
Mon Apr 08 20:57:18 2013	1365447438	0	50	50	38
Mon Apr 08 20:57:59 2013	1365447479	0	50	50	34
Mon Apr 08 20:57:19 2013	1365447439	0	50	51	41
Mon Apr 08 20:57:19 2013	1365447439	0	51	51	43
Mon Apr 08 20:58:01 2013	1365447481	1	50	51	42
Mon Apr 08 20:57:19 2013	1365447439	0	51	51	43
Mon Apr 08 20:57:37 2013	1365447457	0	51	51	39
Mon Apr 08 20:57:42 2013	1365447462	0	51	51	26
Mon Apr 08 20:57:08 2013	1365447428	0	51	52	43
Mon Apr 08 20:57:59 2013	1365447479	0	51	52	33
Mon Apr 08 20:57:39 2013	1365447459	1	51	52	29
Mon Apr 08 20:58:05 2013	1365447485	0	52	52	46
Mon Apr 08 20:57:57 2013	1365447477	0	52	52	33
Mon Apr 08 20:57:19 2013	1365447439	1	52	52	40
