starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 21:34:37 2013	1365449677	5	267	272	266
Mon Apr 08 21:34:37 2013	1365449677	5	278	282	276
Mon Apr 08 21:34:37 2013	1365449677	5	339	344	338
Mon Apr 08 21:34:37 2013	1365449677	5	347	352	346
Mon Apr 08 21:34:37 2013	1365449677	5	355	359	354
Mon Apr 08 21:34:37 2013	1365449677	5	362	366	361
Mon Apr 08 21:34:37 2013	1365449677	5	369	373	368
Mon Apr 08 21:34:37 2013	1365449677	5	376	380	375
Mon Apr 08 21:34:37 2013	1365449677	5	382	387	381
Mon Apr 08 21:34:37 2013	1365449677	5	389	393	388
Mon Apr 08 21:34:37 2013	1365449677	5	395	400	395
Mon Apr 08 21:34:37 2013	1365449677	5	402	407	402
Mon Apr 08 21:34:37 2013	1365449677	4	409	413	408
Mon Apr 08 21:34:37 2013	1365449677	4	415	420	415
Mon Apr 08 21:34:37 2013	1365449677	4	423	427	422
Mon Apr 08 21:34:37 2013	1365449677	4	429	434	428
Mon Apr 08 21:34:37 2013	1365449677	4	437	441	436
Mon Apr 08 21:34:37 2013	1365449677	4	443	448	443
Mon Apr 08 21:34:37 2013	1365449677	4	450	454	449
Mon Apr 08 21:34:37 2013	1365449677	4	456	460	455
Mon Apr 08 21:34:37 2013	1365449677	4	463	467	462
Mon Apr 08 21:34:37 2013	1365449677	4	469	473	469
Mon Apr 08 21:34:37 2013	1365449677	4	476	480	475
Mon Apr 08 21:34:37 2013	1365449677	4	482	487	482
Mon Apr 08 21:34:37 2013	1365449677	4	489	493	488
Mon Apr 08 21:34:37 2013	1365449677	4	496	500	495
Mon Apr 08 21:34:37 2013	1365449677	4	503	507	502
Mon Apr 08 21:34:37 2013	1365449677	4	510	514	509
Mon Apr 08 21:34:37 2013	1365449677	4	516	520	516
Mon Apr 08 21:34:37 2013	1365449677	4	523	528	523
Mon Apr 08 21:34:37 2013	1365449677	4	531	535	530
Mon Apr 08 21:34:37 2013	1365449677	4	538	542	537
Mon Apr 08 21:34:37 2013	1365449677	4	548	552	548
Mon Apr 08 21:34:37 2013	1365449677	4	552	556	552
Mon Apr 08 21:34:37 2013	1365449677	4	560	564	559
Mon Apr 08 21:34:37 2013	1365449677	4	567	571	566
Mon Apr 08 21:34:37 2013	1365449677	4	574	578	573
Mon Apr 08 21:34:37 2013	1365449677	4	581	585	580
Mon Apr 08 21:34:37 2013	1365449677	4	587	591	587
Mon Apr 08 21:34:37 2013	1365449677	4	594	598	593
Mon Apr 08 21:34:37 2013	1365449677	4	601	605	600
Mon Apr 08 21:34:37 2013	1365449677	4	608	611	607
Mon Apr 08 21:34:37 2013	1365449677	4	614	618	614
Mon Apr 08 21:34:37 2013	1365449677	4	621	624	620
Mon Apr 08 21:34:37 2013	1365449677	4	627	631	626
Mon Apr 08 21:34:37 2013	1365449677	4	634	638	633
Mon Apr 08 21:34:37 2013	1365449677	4	640	644	640
Mon Apr 08 21:35:42 2013	1365449742	0	701	701	701
Mon Apr 08 21:35:52 2013	1365449752	0	701	701	701
Mon Apr 08 21:35:52 2013	1365449752	0	702	702	701
Mon Apr 08 21:35:42 2013	1365449742	0	702	702	702
Mon Apr 08 21:35:39 2013	1365449739	0	703	703	702
Mon Apr 08 21:35:52 2013	1365449752	0	703	703	702
